answers
Oui si c'est mauvais pour la santé et la planète
OUI
"Laissez les gens fumer si ils le veulent. C'est tjrs un choix. J'ai fait le choix de ne pas fumer tout seul et pourtant, mes parents fument, mes amis fument... Ceux qui veulent fumer le font en connaissant les risques. L'argument écologique est bien suffisant, pas besoin d'essayer de donner un argument anti-tabagisme"
"Oui, c'est absurde qu'un tel produit existe."
Oui
Oui
intéressant. Chirac est donc en grande partie responsable pour la France actuelle.
"Oui, si c est pour fumer autant prendre une ce... les pif c est vraiment useless et une perte d argent et puis en termes d écologie idem"
Oui
"Oui, c’est un fléau pour les jeunes, c’est pas contrôlé, et comme jeté dans la rue, très polluant et éphémère."
NON. Il y a des interdictions de vente aux mineurs. Ils vont aussi vers le tabac. Arrêtons l’hypocrisie et interdisons aussi les cigarettes dans ce cas.
Mon papa à gauche de Chirac 🥰🤗😁😎
"Oui, pour une fois que je suis d'accord avec un ministre mdr"
Oui !
"Oui, même avec beaucoup de prévention contre le tabagisme et le non-sens écologique, ce type de produit reste attirant pour certain jeune. Je me demande surtout comment ce produit peut être en vente sans avoir eu une réglementation avant ? La France est tellement frileuse sur certain.e.s sujets/lois par contre empoisonner les gens pour de l'argent là, on ""réfléchit"" à une interdiction... 😅"
oui
L'Europe devrait  s'emparer du sujet et creer des lois pour interdire tous les produit électroniques jetables...
"Oui, déjà pour l'écologie car les batteries ça pollue et oui, et aussi pour empêcher les jeunes d'y avoir accès pour ne pas créer de nouveaux fumeurs"
Oui
@domideff vous êtes des stars???
"Les puffs ne sont pas interdites en Belgique, jsp d'où il sort ça"
oui
"Oui, en raison de l abberarion ecologique que cette production représente. Seumement cela risquerait d'orienter des jeunes directement vers le tabagisme"
L’IDG (institut de Genech) c devenu famous ouuuuu
"Oui. Y'a déjà des cigarettes électroniques rechargeables, il n'y a aucun avantage à la cigarette jetable."
Perso je suis capable de casser une amitié si une personne fume obstinément et en connaissance de cause (je considère que son logiciel n'est plus compatible avec le mien). Donc bon les arguments dans le genre les fumeurs font ce qu'ils veulent ça me passe au-dessus de la tête 😂.
"Oui, le tabagisme concerne chacun mais c’est un désastre écologique"
"Le problème des puffs c’est que c’est vendu pour les jeunes, c’est coloré,… tout est fait pour attirer les plus jeunes. Les interdire ça marchera pas mais il faut les rendre moins accessibles."
Oui
"Oui, c'est une situation absurde : ce sont des industriels du tabac qui cherchent une nouvelle clientèle en vendant des produits contenant de la nicotine à coup de marketing (pour les jeunes, donc encore pire). Leur commercialisation n'aurait jamais dû être possible."
@perceval.broder on a de la marge ☺️
"Oui totalement c'est une des inventions du diable. Que ça soit pour les jeunes ou les vieux, ça reste dangereux et pire qu'une CE ou une cigarette normale. Il y a tout le tableau des éléments dedans et bien au-delà..."
"Oui, c'est inutile, dangereux pour les jeunes et l'environnement. Ça n'apporte rien de bon et si on a pu s'en passer (ceux d'avant 2008 je dirai ) je ne vois pas en quoi ça serait problématique pour eux, il n'y a pas vraiment de contre à mon sens"
Oui ça amène les gens à fumer
"Oui, je comprends l’intérêt du produit mais ce qui me gêne c’est l’usage unique, c’est dommage de gaspiller des ressources, quand on peut en prendre des réutilisables !"
